bubbleSortPassPerItem, Character, sorted, 124094910194955, 124094912972604, 2777649
bubbleSortPassPerItem, Character, sorted, 124094913006447, 124094915735587, 2729140
bubbleSortPassPerItem, Character, sorted, 124094915767033, 124094918588995, 2821962
bubbleSortPassPerItem, Character, sorted, 124094918621722, 124094921348561, 2726839
bubbleSortPassPerItem, Character, sorted, 124094921386295, 124094924134066, 2747771
bubbleSortPassPerItem, Character, sorted, 124094924165974, 124094926897143, 2731169
bubbleSortPassPerItem, Character, sorted, 124094926934641, 124094929787630, 2852989
bubbleSortPassPerItem, Character, sorted, 124094929820501, 124094932732874, 2912373
bubbleSortPassPerItem, Character, sorted, 124094932775308, 124094935549668, 2774360
bubbleSortPassPerItem, Character, sorted, 124094935581037, 124094938411203, 2830166
bubbleSortPassPerItem, Character, sorted, 124094938441959, 124094941236152, 2794193
bubbleSortPassPerItem, Character, sorted, 124094941268091, 124094943977708, 2709617
bubbleSortPassPerItem, Character, sorted, 124094944008866, 124094946633325, 2624459
bubbleSortPassPerItem, Character, sorted, 124094946660565, 124094949275162, 2614597
bubbleSortPassPerItem, Character, sorted, 124094949304674, 124094951892958, 2588284
bubbleSortPassPerItem, Character, sorted, 124094951919261, 124094954517078, 2597817
bubbleSortPassPerItem, Character, sorted, 124094954543573, 124094957009075, 2465502
bubbleSortPassPerItem, Character, sorted, 124094957034266, 124094959412955, 2378689
bubbleSortPassPerItem, Character, sorted, 124094959441305, 124094961942440, 2501135
bubbleSortPassPerItem, Character, sorted, 124094961968530, 124094964425877, 2457347
bubbleSortPassPerItem, Character, sorted, 124094964450737, 124094966822863, 2372126
bubbleSortPassPerItem, Character, sorted, 124094966848136, 124094969486962, 2638826
bubbleSortPassPerItem, Character, sorted, 124094969511811, 124094971840352, 2328541
bubbleSortPassPerItem, Character, sorted, 124094971863569, 124094975819061, 3955492
bubbleSortPassPerItem, Character, sorted, 124094975955466, 124094978428300, 2472834
bubbleSortPassPerItem, Character, sorted, 124094978489928, 124094981037125, 2547197
bubbleSortPassPerItem, Character, sorted, 124094981068706, 124094983461316, 2392610
bubbleSortPassPerItem, Character, sorted, 124094983503545, 124094986080287, 2576742
bubbleSortPassPerItem, Character, sorted, 124094986109843, 124094988584206, 2474363
bubbleSortPassPerItem, Character, sorted, 124094988633550, 124094991017056, 2383506
bubbleSortPassPerItem, Character, sorted, 124094991041252, 124094993460611, 2419359
bubbleSortPassPerItem, Character, sorted, 124094993486844, 124094995942747, 2455903
bubbleSortPassPerItem, Character, sorted, 124094995966120, 124094998411043, 2444923
bubbleSortPassPerItem, Character, sorted, 124094998437970, 124095000911256, 2473286
bubbleSortPassPerItem, Character, sorted, 124095000936183, 124095003284914, 2348731
bubbleSortPassPerItem, Character, sorted, 124095003310458, 124095005907940, 2597482
