bubbleSortPassPerItem, Byte, partSorted, 124245727361897, 124245730667789, 3305892
bubbleSortPassPerItem, Byte, partSorted, 124245730711775, 124245734013008, 3301233
bubbleSortPassPerItem, Byte, partSorted, 124245734061269, 124245737359790, 3298521
bubbleSortPassPerItem, Byte, partSorted, 124245737397975, 124245740611624, 3213649
bubbleSortPassPerItem, Byte, partSorted, 124245740649343, 124245743816434, 3167091
bubbleSortPassPerItem, Byte, partSorted, 124245743852169, 124245747021024, 3168855
bubbleSortPassPerItem, Byte, partSorted, 124245747057023, 124245750226102, 3169079
bubbleSortPassPerItem, Byte, partSorted, 124245750263265, 124245753437103, 3173838
bubbleSortPassPerItem, Byte, partSorted, 124245753477348, 124245756644551, 3167203
bubbleSortPassPerItem, Byte, partSorted, 124245756682652, 124245759845174, 3162522
bubbleSortPassPerItem, Byte, partSorted, 124245759879390, 124245763048954, 3169564
bubbleSortPassPerItem, Byte, partSorted, 124245763085189, 124245766259237, 3174048
bubbleSortPassPerItem, Byte, partSorted, 124245766297952, 124245769570481, 3272529
bubbleSortPassPerItem, Byte, partSorted, 124245769613382, 124245774087304, 4473922
bubbleSortPassPerItem, Byte, partSorted, 124245774180350, 124245777582054, 3401704
bubbleSortPassPerItem, Byte, partSorted, 124245777628226, 124245781053193, 3424967
bubbleSortPassPerItem, Byte, partSorted, 124245781096130, 124245784328637, 3232507
bubbleSortPassPerItem, Byte, partSorted, 124245784367933, 124245787821985, 3454052
bubbleSortPassPerItem, Byte, partSorted, 124245787867305, 124245791123910, 3256605
bubbleSortPassPerItem, Byte, partSorted, 124245791163562, 124245794379411, 3215849
bubbleSortPassPerItem, Byte, partSorted, 124245794416892, 124245797769932, 3353040
bubbleSortPassPerItem, Byte, partSorted, 124245797814639, 124245801035043, 3220404
bubbleSortPassPerItem, Byte, partSorted, 124245801074168, 124245804513160, 3438992
bubbleSortPassPerItem, Byte, partSorted, 124245804554574, 124245807717420, 3162846
bubbleSortPassPerItem, Byte, partSorted, 124245807753850, 124245810961758, 3207908
bubbleSortPassPerItem, Byte, partSorted, 124245810999302, 124245814168866, 3169564
bubbleSortPassPerItem, Byte, partSorted, 124245814204663, 124245817385605, 3180942
bubbleSortPassPerItem, Byte, partSorted, 124245817428219, 124245820836895, 3408676
bubbleSortPassPerItem, Byte, partSorted, 124245820878579, 124245824015607, 3137028
bubbleSortPassPerItem, Byte, partSorted, 124245824104826, 124245827278925, 3174099
bubbleSortPassPerItem, Byte, partSorted, 124245827327526, 124245830490142, 3162616
bubbleSortPassPerItem, Byte, partSorted, 124245830527612, 124245833681282, 3153670
bubbleSortPassPerItem, Byte, partSorted, 124245833720426, 124245836917209, 3196783
bubbleSortPassPerItem, Byte, partSorted, 124245836955928, 124245840070417, 3114489
bubbleSortPassPerItem, Byte, partSorted, 124245840137578, 124245843360873, 3223295
bubbleSortPassPerItem, Byte, partSorted, 124245843399561, 124245846557529, 3157968
bubbleSortPassPerItem, Byte, partSorted, 124245846591863, 124245849719819, 3127956
bubbleSortPassPerItem, Byte, partSorted, 124245849755275, 124245853135949, 3380674
bubbleSortPassPerItem, Byte, partSorted, 124245853177121, 124245856297067, 3119946
bubbleSortPassPerItem, Byte, partSorted, 124245856340240, 124245859548559, 3208319
bubbleSortPassPerItem, Byte, partSorted, 124245859586733, 124245862748842, 3162109
bubbleSortPassPerItem, Byte, partSorted, 124245862783846, 124245865923898, 3140052
