bubbleSortPassPerItem, int, sorted, 126561851702428, 126562211715993, 360013565
bubbleSortPassPerItem, int, sorted, 126562212013622, 126562560899656, 348886034
bubbleSortPassPerItem, int, sorted, 126562561030974, 126562916196030, 355165056
bubbleSortPassPerItem, int, sorted, 126562916376381, 126563276554943, 360178562
bubbleSortPassPerItem, int, sorted, 126563276777219, 126563668899607, 392122388
bubbleSortPassPerItem, int, sorted, 126563669092289, 126564068211457, 399119168
bubbleSortPassPerItem, int, sorted, 126564068394144, 126564420132919, 351738775
bubbleSortPassPerItem, int, sorted, 126564420302322, 126564793355380, 373053058
bubbleSortPassPerItem, int, sorted, 126564793505733, 126565151102583, 357596850
bubbleSortPassPerItem, int, sorted, 126565151237873, 126565500695412, 349457539
bubbleSortPassPerItem, int, sorted, 126565500839462, 126565850456934, 349617472
bubbleSortPassPerItem, int, sorted, 126565850617002, 126566197250890, 346633888
bubbleSortPassPerItem, int, sorted, 126566197384037, 126566543421104, 346037067
bubbleSortPassPerItem, int, sorted, 126566543566146, 126566898603574, 355037428
bubbleSortPassPerItem, int, sorted, 126566898719037, 126567247947602, 349228565
bubbleSortPassPerItem, int, sorted, 126567248165163, 126567594632751, 346467588
bubbleSortPassPerItem, int, sorted, 126567594887273, 126567949198954, 354311681
bubbleSortPassPerItem, int, sorted, 126567949347040, 126568328325736, 378978696
bubbleSortPassPerItem, int, sorted, 126568328448795, 126568673480736, 345031941
bubbleSortPassPerItem, int, sorted, 126568673621550, 126569028396340, 354774790
bubbleSortPassPerItem, int, sorted, 126569028566698, 126569385541235, 356974537
bubbleSortPassPerItem, int, sorted, 126569385661336, 126569735142206, 349480870
bubbleSortPassPerItem, int, sorted, 126569735261736, 126570101229043, 365967307
bubbleSortPassPerItem, int, sorted, 126570101367421, 126570446347146, 344979725
bubbleSortPassPerItem, int, sorted, 126570446501745, 126570792195503, 345693758
bubbleSortPassPerItem, int, sorted, 126570792330484, 126571143807600, 351477116
bubbleSortPassPerItem, int, sorted, 126571143998901, 126571490222371, 346223470
bubbleSortPassPerItem, int, sorted, 126571490352927, 126571840092936, 349740009
bubbleSortPassPerItem, int, sorted, 126571840228454, 126572190151582, 349923128
bubbleSortPassPerItem, int, sorted, 126572190293155, 126572538261626, 347968471
bubbleSortPassPerItem, int, sorted, 126572538395246, 126572889885786, 351490540
bubbleSortPassPerItem, int, sorted, 126572890021772, 126573243797366, 353775594
bubbleSortPassPerItem, int, sorted, 126573243932967, 126573592731231, 348798264
bubbleSortPassPerItem, int, sorted, 126573592863923, 126573943630484, 350766561
bubbleSortPassPerItem, int, sorted, 126573943773117, 126574312680709, 368907592
bubbleSortPassPerItem, int, sorted, 126574312832216, 126574660204952, 347372736
bubbleSortPassPerItem, int, sorted, 126574660357644, 126575010608164, 350250520
bubbleSortPassPerItem, int, sorted, 126575010758674, 126575359983909, 349225235
bubbleSortPassPerItem, int, sorted, 126575360163445, 126575706587539, 346424094
bubbleSortPassPerItem, int, sorted, 126575706735648, 126576051658848, 344923200
bubbleSortPassPerItem, int, sorted, 126576051898723, 126576402711298, 350812575
bubbleSortPassPerItem, int, sorted, 126576402864201, 126576748905816, 346041615
bubbleSortPassPerItem, int, sorted, 126576749139698, 126577095387269, 346247571
bubbleSortPassPerItem, int, sorted, 126577095557873, 126577444685788, 349127915
bubbleSortPassPerItem, int, sorted, 126577444834462, 126577791136885, 346302423
bubbleSortPassPerItem, int, sorted, 126577791291322, 126578140315664, 349024342
bubbleSortPassPerItem, int, sorted, 126578140460903, 126578491298876, 350837973
bubbleSortPassPerItem, int, sorted, 126578491441197, 126578840812676, 349371479
bubbleSortPassPerItem, int, sorted, 126578840975572, 126579208564459, 367588887
bubbleSortPassPerItem, int, sorted, 126579208712168, 126579564016371, 355304203
bubbleSortPassPerItem, int, sorted, 126579564146930, 126579915242282, 351095352
bubbleSortPassPerItem, int, sorted, 126579915366913, 126580265764158, 350397245
bubbleSortPassPerItem, int, sorted, 126580265884064, 126580619061344, 353177280
bubbleSortPassPerItem, int, sorted, 126580619244280, 126580967220692, 347976412
bubbleSortPassPerItem, int, sorted, 126580967346347, 126581314308776, 346962429
bubbleSortPassPerItem, int, sorted, 126581314441187, 126581663530285, 349089098
bubbleSortPassPerItem, int, sorted, 126581663664912, 126582010558888, 346893976
bubbleSortPassPerItem, int, sorted, 126582010701837, 126582358016275, 347314438
bubbleSortPassPerItem, int, sorted, 126582358228343, 126582733772777, 375544434
bubbleSortPassPerItem, int, sorted, 126582733899339, 126583084324676, 350425337
bubbleSortPassPerItem, int, sorted, 126583084443271, 126583434770298, 350327027
bubbleSortPassPerItem, int, sorted, 126583434878793, 126583787886669, 353007876
bubbleSortPassPerItem, int, sorted, 126583788051068, 126584158254133, 370203065
bubbleSortPassPerItem, int, sorted, 126584158397663, 126584507096513, 348698850
bubbleSortPassPerItem, int, sorted, 126584507237161, 126584859010963, 351773802
bubbleSortPassPerItem, int, sorted, 126584859235464, 126585211056809, 351821345
bubbleSortPassPerItem, int, sorted, 126585211247213, 126585560718034, 349470821
bubbleSortPassPerItem, int, sorted, 126585560858241, 126585911071636, 350213395
bubbleSortPassPerItem, int, sorted, 126585911310144, 126586260779388, 349469244
bubbleSortPassPerItem, int, sorted, 126586260982445, 126586605886894, 344904449
bubbleSortPassPerItem, int, sorted, 126586606027342, 126586956071574, 350044232
bubbleSortPassPerItem, int, sorted, 126586956209284, 126587301756812, 345547528
bubbleSortPassPerItem, int, sorted, 126587301887423, 126587651218539, 349331116
bubbleSortPassPerItem, int, sorted, 126587651347692, 126588006201167, 354853475
bubbleSortPassPerItem, int, sorted, 126588006324996, 126588356219484, 349894488
bubbleSortPassPerItem, int, sorted, 126588356346937, 126588702855974, 346509037
bubbleSortPassPerItem, int, sorted, 126588702983270, 126589093723468, 390740198
bubbleSortPassPerItem, int, sorted, 126589093947399, 126589448884028, 354936629
