bubbleSortPassPerItem, Double, sorted, 128827821825299, 128828135230864, 313405565
bubbleSortPassPerItem, Double, sorted, 128828135343368, 128828448546696, 313203328
bubbleSortPassPerItem, Double, sorted, 128828448649053, 128828760940081, 312291028
bubbleSortPassPerItem, Double, sorted, 128828761054063, 128829073558434, 312504371
bubbleSortPassPerItem, Double, sorted, 128829073687674, 128829393298403, 319610729
bubbleSortPassPerItem, Double, sorted, 128829393415612, 128829706321003, 312905391
bubbleSortPassPerItem, Double, sorted, 128829706436419, 128830019445939, 313009520
bubbleSortPassPerItem, Double, sorted, 128830019570044, 128830336666004, 317095960
bubbleSortPassPerItem, Double, sorted, 128830336818218, 128830654816876, 317998658
bubbleSortPassPerItem, Double, sorted, 128830654947177, 128830972462471, 317515294
bubbleSortPassPerItem, Double, sorted, 128830972594439, 128831291560034, 318965595
bubbleSortPassPerItem, Double, sorted, 128831291682948, 128831605126830, 313443882
bubbleSortPassPerItem, Double, sorted, 128831605309265, 128831918690940, 313381675
bubbleSortPassPerItem, Double, sorted, 128831918830679, 128832232662299, 313831620
bubbleSortPassPerItem, Double, sorted, 128832232789447, 128832546544577, 313755130
bubbleSortPassPerItem, Double, sorted, 128832546651579, 128832860674961, 314023382
bubbleSortPassPerItem, Double, sorted, 128832860795311, 128833174802211, 314006900
bubbleSortPassPerItem, Double, sorted, 128833174916862, 128833488815464, 313898602
bubbleSortPassPerItem, Double, sorted, 128833488929721, 128833802871329, 313941608
bubbleSortPassPerItem, Double, sorted, 128833802981677, 128834116890432, 313908755
bubbleSortPassPerItem, Double, sorted, 128834117012404, 128834436151756, 319139352
bubbleSortPassPerItem, Double, sorted, 128834436290369, 128834750054858, 313764489
bubbleSortPassPerItem, Double, sorted, 128834750173112, 128835063854881, 313681769
bubbleSortPassPerItem, Double, sorted, 128835063961766, 128835377433335, 313471569
bubbleSortPassPerItem, Double, sorted, 128835377541103, 128835691332977, 313791874
bubbleSortPassPerItem, Double, sorted, 128835691455024, 128836026493008, 335037984
bubbleSortPassPerItem, Double, sorted, 128836026627754, 128836339927136, 313299382
bubbleSortPassPerItem, Double, sorted, 128836340075100, 128836653556058, 313480958
bubbleSortPassPerItem, Double, sorted, 128836653704742, 128836967366266, 313661524
bubbleSortPassPerItem, Double, sorted, 128836967494176, 128837281292603, 313798427
bubbleSortPassPerItem, Double, sorted, 128837281409885, 128837595287309, 313877424
bubbleSortPassPerItem, Double, sorted, 128837595393505, 128837909235829, 313842324
bubbleSortPassPerItem, Double, sorted, 128837909356583, 128838223474941, 314118358
bubbleSortPassPerItem, Double, sorted, 128838223631787, 128838537740470, 314108683
bubbleSortPassPerItem, Double, sorted, 128838537889251, 128838851317170, 313427919
bubbleSortPassPerItem, Double, sorted, 128838851411976, 128839166693208, 315281232
bubbleSortPassPerItem, Double, sorted, 128839166795915, 128839484557839, 317761924
bubbleSortPassPerItem, Double, sorted, 128839484654525, 128839798607767, 313953242
bubbleSortPassPerItem, Double, sorted, 128839798709387, 128840112943399, 314234012
bubbleSortPassPerItem, Double, sorted, 128840113047830, 128840426674915, 313627085
bubbleSortPassPerItem, Double, sorted, 128840426800652, 128840741078510, 314277858
bubbleSortPassPerItem, Double, sorted, 128840741202714, 128841055013293, 313810579
bubbleSortPassPerItem, Double, sorted, 128841055150156, 128841368930342, 313780186
bubbleSortPassPerItem, Double, sorted, 128841369044921, 128841682707302, 313662381
bubbleSortPassPerItem, Double, sorted, 128841682836776, 128841996796914, 313960138
bubbleSortPassPerItem, Double, sorted, 128841996930100, 128842311106728, 314176628
bubbleSortPassPerItem, Double, sorted, 128842311234712, 128842624994404, 313759692
bubbleSortPassPerItem, Double, sorted, 128842625106186, 128842939172868, 314066682
bubbleSortPassPerItem, Double, sorted, 128842939332054, 128843258699059, 319367005
bubbleSortPassPerItem, Double, sorted, 128843258861549, 128843573576808, 314715259
bubbleSortPassPerItem, Double, sorted, 128843573698600, 128843887445041, 313746441
bubbleSortPassPerItem, Double, partSorted, 128853046451633, 128853406402496, 359950863
bubbleSortPassPerItem, Double, partSorted, 128853406572459, 128853767541638, 360969179
bubbleSortPassPerItem, Double, partSorted, 128853767664450, 128854129041359, 361376909
bubbleSortPassPerItem, Double, partSorted, 128854129136088, 128854494896338, 365760250
bubbleSortPassPerItem, Double, partSorted, 128854495025525, 128854856798619, 361773094
bubbleSortPassPerItem, Double, partSorted, 128854856958436, 128855218353811, 361395375
bubbleSortPassPerItem, Double, partSorted, 128855218551998, 128855579998178, 361446180
bubbleSortPassPerItem, Double, partSorted, 128855580143625, 128855941857395, 361713770
bubbleSortPassPerItem, Double, partSorted, 128855941991090, 128856303967189, 361976099
bubbleSortPassPerItem, Double, partSorted, 128856304086547, 128856665631167, 361544620
bubbleSortPassPerItem, Double, partSorted, 128856665727519, 128857026924623, 361197104
bubbleSortPassPerItem, Double, partSorted, 128857027055382, 128857388654115, 361598733
bubbleSortPassPerItem, Double, partSorted, 128857388779302, 128857750365231, 361585929
bubbleSortPassPerItem, Double, partSorted, 128857750463429, 128858111619849, 361156420
bubbleSortPassPerItem, Double, partSorted, 128858111721152, 128858472942447, 361221295
bubbleSortPassPerItem, Double, partSorted, 128858473054954, 128858834022642, 360967688
bubbleSortPassPerItem, Double, partSorted, 128858834143892, 128859197549104, 363405212
bubbleSortPassPerItem, Double, partSorted, 128859197657384, 128859561186711, 363529327
bubbleSortPassPerItem, Double, partSorted, 128859561351744, 128859922153879, 360802135
bubbleSortPassPerItem, Double, partSorted, 128859922288280, 128860283045235, 360756955
bubbleSortPassPerItem, Double, partSorted, 128860283155202, 128860643434963, 360279761
bubbleSortPassPerItem, Double, partSorted, 128860643559593, 128861003641874, 360082281
bubbleSortPassPerItem, Double, partSorted, 128861003746809, 128861364271944, 360525135
bubbleSortPassPerItem, Double, partSorted, 128861364381035, 128861724534367, 360153332
bubbleSortPassPerItem, Double, partSorted, 128861724647455, 128862084657697, 360010242
bubbleSortPassPerItem, Double, partSorted, 128862084775710, 128862444702331, 359926621
bubbleSortPassPerItem, Double, partSorted, 128862444841208, 128862805474478, 360633270
bubbleSortPassPerItem, Double, partSorted, 128862805589082, 128863167821168, 362232086
bubbleSortPassPerItem, Double, partSorted, 128863167948201, 128863536711332, 368763131
bubbleSortPassPerItem, Double, partSorted, 128863536831656, 128863919093296, 382261640
bubbleSortPassPerItem, Double, partSorted, 128863919198544, 128864284296855, 365098311
bubbleSortPassPerItem, Double, partSorted, 128864284392993, 128864645867791, 361474798
bubbleSortPassPerItem, Double, partSorted, 128864645980057, 128865007448561, 361468504
bubbleSortPassPerItem, Double, partSorted, 128865007552721, 128865368805923, 361253202
bubbleSortPassPerItem, Double, partSorted, 128865368909531, 128865731540749, 362631218
bubbleSortPassPerItem, Double, partSorted, 128865731656236, 128866096596790, 364940554
bubbleSortPassPerItem, Double, partSorted, 128866096726527, 128866462680987, 365954460
bubbleSortPassPerItem, Double, partSorted, 128866462807782, 128866827873184, 365065402
bubbleSortPassPerItem, Double, partSorted, 128866828026769, 128867193164772, 365138003
bubbleSortPassPerItem, Double, partSorted, 128867193275342, 128867557580843, 364305501
bubbleSortPassPerItem, Double, partSorted, 128867557702190, 128867922139375, 364437185
bubbleSortPassPerItem, Double, partSorted, 128867922251449, 128868286911360, 364659911
bubbleSortPassPerItem, Double, partSorted, 128868287035486, 128868650517630, 363482144
bubbleSortPassPerItem, Double, partSorted, 128868650646063, 128869014016890, 363370827
bubbleSortPassPerItem, Double, partSorted, 128869014166505, 128869382743666, 368577161
bubbleSortPassPerItem, Double, partSorted, 128869382886366, 128869746750092, 363863726
bubbleSortPassPerItem, Double, partSorted, 128869746869207, 128870110749880, 363880673
bubbleSortPassPerItem, Double, partSorted, 128870110848704, 128870475549599, 364700895
bubbleSortPassPerItem, Double, partSorted, 128870475665565, 128870839359530, 363693965
bubbleSortPassPerItem, Double, partSorted, 128870839474557, 128871202852397, 363377840
bubbleSortPassPerItem, Double, partSorted, 128871202995324, 128871566576182, 363580858
bubbleSortPassPerItem, Double, partSorted, 128871566705417, 128871931292823, 364587406
bubbleSortPassPerItem, Double, partSorted, 128871931417795, 128872294825991, 363408196
bubbleSortPassPerItem, Double, partSorted, 128872294923702, 128872662560935, 367637233
bubbleSortPassPerItem, Double, partSorted, 128872662657540, 128873029257534, 366599994
bubbleSortPassPerItem, Double, partSorted, 128873029355830, 128873400194736, 370838906
bubbleSortPassPerItem, Double, partSorted, 128873400299004, 128873797779168, 397480164
bubbleSortPassPerItem, Double, partSorted, 128873797890069, 128874177269356, 379379287
bubbleSortPassPerItem, Double, partSorted, 128874177391965, 128874552391521, 374999556
bubbleSortPassPerItem, Double, partSorted, 128874552521368, 128874939262358, 386740990
bubbleSortPassPerItem, Double, partSorted, 128874939387198, 128875330188393, 390801195
bubbleSortPassPerItem, Double, partSorted, 128875330291076, 128875713155163, 382864087
bubbleSortPassPerItem, Double, partSorted, 128875713255497, 128876096316314, 383060817
bubbleSortPassPerItem, Double, partSorted, 128876096428091, 128876458969865, 362541774
bubbleSortPassPerItem, Double, partSorted, 128876459089265, 128876822303161, 363213896
bubbleSortPassPerItem, Double, partSorted, 128876822510145, 128877190219703, 367709558
bubbleSortPassPerItem, Double, partSorted, 128877190389532, 128877556058272, 365668740
bubbleSortPassPerItem, Double, partSorted, 128877556190213, 128877917080817, 360890604
bubbleSortPassPerItem, Double, partSorted, 128877917182877, 128878281959235, 364776358
bubbleSortPassPerItem, Double, partSorted, 128878282064631, 128878641620494, 359555863
bubbleSortPassPerItem, Double, partSorted, 128878641720816, 128878999612098, 357891282
