bubbleSortPassPerItem, Character, sorted, 129488703466672, 129489032160151, 328693479
bubbleSortPassPerItem, Character, sorted, 129489032271999, 129489366134548, 333862549
bubbleSortPassPerItem, Character, sorted, 129489366248388, 129489694224133, 327975745
bubbleSortPassPerItem, Character, sorted, 129489694433372, 129490022961864, 328528492
bubbleSortPassPerItem, Character, sorted, 129490023069095, 129490350834042, 327764947
bubbleSortPassPerItem, Character, sorted, 129490350946837, 129490679034774, 328087937
bubbleSortPassPerItem, Character, sorted, 129490679131377, 129491007324010, 328192633
bubbleSortPassPerItem, Character, sorted, 129491007421614, 129491335428959, 328007345
bubbleSortPassPerItem, Character, sorted, 129491335565249, 129491663608222, 328042973
bubbleSortPassPerItem, Character, sorted, 129491663711167, 129491991881325, 328170158
bubbleSortPassPerItem, Character, sorted, 129491991979102, 129492320584967, 328605865
bubbleSortPassPerItem, Character, sorted, 129492320721810, 129492648653967, 327932157
bubbleSortPassPerItem, Character, sorted, 129492648762749, 129492977249558, 328486809
bubbleSortPassPerItem, Character, sorted, 129492977358042, 129493305332583, 327974541
bubbleSortPassPerItem, Character, sorted, 129493305457470, 129493633444935, 327987465
bubbleSortPassPerItem, Character, sorted, 129493633562507, 129493961703177, 328140670
bubbleSortPassPerItem, Character, sorted, 129493961825053, 129494292992081, 331167028
bubbleSortPassPerItem, Character, sorted, 129494293116005, 129494623845453, 330729448
bubbleSortPassPerItem, Character, sorted, 129494623962760, 129494951937994, 327975234
bubbleSortPassPerItem, Character, sorted, 129494952078998, 129495280142866, 328063868
bubbleSortPassPerItem, Character, sorted, 129495280245605, 129495608628273, 328382668
bubbleSortPassPerItem, Character, sorted, 129495608769347, 129495936690122, 327920775
bubbleSortPassPerItem, Character, sorted, 129495936851493, 129496264825707, 327974214
bubbleSortPassPerItem, Character, sorted, 129496264932847, 129496593298925, 328366078
bubbleSortPassPerItem, Character, sorted, 129496593436366, 129496921290187, 327853821
bubbleSortPassPerItem, Character, sorted, 129496921426372, 129497250510670, 329084298
bubbleSortPassPerItem, Character, sorted, 129497250645514, 129497580824928, 330179414
bubbleSortPassPerItem, Character, sorted, 129497580952895, 129497910834530, 329881635
bubbleSortPassPerItem, Character, sorted, 129497910996217, 129498240895879, 329899662
bubbleSortPassPerItem, Character, sorted, 129498241059495, 129498570785533, 329726038
bubbleSortPassPerItem, Character, sorted, 129498570926931, 129498900568169, 329641238
bubbleSortPassPerItem, Character, sorted, 129498900698341, 129499232534235, 331835894
bubbleSortPassPerItem, Character, sorted, 129499232654822, 129499566261036, 333606214
bubbleSortPassPerItem, Character, sorted, 129499566389099, 129499895905901, 329516802
bubbleSortPassPerItem, Character, sorted, 129499896083546, 129500226049591, 329966045
bubbleSortPassPerItem, Character, sorted, 129500226199423, 129500555797303, 329597880
bubbleSortPassPerItem, Character, sorted, 129500555973956, 129500885545886, 329571930
bubbleSortPassPerItem, Character, sorted, 129500885690624, 129501213675117, 327984493
bubbleSortPassPerItem, Character, sorted, 129501213808001, 129501541763899, 327955898
bubbleSortPassPerItem, Character, sorted, 129501541872670, 129501871466409, 329593739
bubbleSortPassPerItem, Character, sorted, 129501871589608, 129502199673613, 328084005
bubbleSortPassPerItem, Character, sorted, 129502199784067, 129502528781993, 328997926
bubbleSortPassPerItem, Character, sorted, 129502528937152, 129502857502013, 328564861
bubbleSortPassPerItem, Character, sorted, 129502857627351, 129503185750155, 328122804
bubbleSortPassPerItem, Character, sorted, 129503185859063, 129503513673042, 327813979
bubbleSortPassPerItem, Character, sorted, 129503513792575, 129503841915557, 328122982
bubbleSortPassPerItem, Character, sorted, 129503842069798, 129504170804893, 328735095
bubbleSortPassPerItem, Character, sorted, 129504170906171, 129504527280063, 356373892
bubbleSortPassPerItem, Character, sorted, 129504527418488, 129504855448699, 328030211
bubbleSortPassPerItem, Character, sorted, 129504855556440, 129505184221072, 328664632
bubbleSortPassPerItem, Character, sorted, 129505184345987, 129505512302973, 327956986
