bubbleSortPassPerItem, Byte, sorted, 129970752568229, 129971012249091, 259680862
bubbleSortPassPerItem, Byte, sorted, 129971012368214, 129971272985752, 260617538
bubbleSortPassPerItem, Byte, sorted, 129971273116048, 129971533203274, 260087226
bubbleSortPassPerItem, Byte, sorted, 129971533369224, 129971792702761, 259333537
bubbleSortPassPerItem, Byte, sorted, 129971792832732, 129972052102136, 259269404
bubbleSortPassPerItem, Byte, sorted, 129972052252017, 129972311240449, 258988432
bubbleSortPassPerItem, Byte, sorted, 129972311355560, 129972570251765, 258896205
bubbleSortPassPerItem, Byte, sorted, 129972570384685, 129972830980137, 260595452
bubbleSortPassPerItem, Byte, sorted, 129972831096520, 129973092301928, 261205408
bubbleSortPassPerItem, Byte, sorted, 129973092447065, 129973351996953, 259549888
bubbleSortPassPerItem, Byte, sorted, 129973352199184, 129973612239546, 260040362
bubbleSortPassPerItem, Byte, sorted, 129973612328447, 129973874166407, 261837960
bubbleSortPassPerItem, Byte, sorted, 129973874365692, 129974135582819, 261217127
bubbleSortPassPerItem, Byte, sorted, 129974135744351, 129974434629788, 298885437
bubbleSortPassPerItem, Byte, sorted, 129974434740426, 129974753799148, 319058722
bubbleSortPassPerItem, Byte, sorted, 129974753926670, 129975073091867, 319165197
bubbleSortPassPerItem, Byte, sorted, 129975073210062, 129975392451184, 319241122
bubbleSortPassPerItem, Byte, sorted, 129975392576231, 129975726476202, 333899971
bubbleSortPassPerItem, Byte, sorted, 129975726617995, 129976045767117, 319149122
bubbleSortPassPerItem, Byte, sorted, 129976045878501, 129976365063788, 319185287
bubbleSortPassPerItem, Byte, sorted, 129976365177494, 129976684290383, 319112889
bubbleSortPassPerItem, Byte, sorted, 129976684406941, 129977003928345, 319521404
bubbleSortPassPerItem, Byte, sorted, 129977004088042, 129977323319952, 319231910
bubbleSortPassPerItem, Byte, sorted, 129977323460597, 129977642548876, 319088279
bubbleSortPassPerItem, Byte, sorted, 129977642708558, 129977961839634, 319131076
bubbleSortPassPerItem, Byte, sorted, 129977961969777, 129978281356697, 319386920
bubbleSortPassPerItem, Byte, sorted, 129978281467563, 129978600664895, 319197332
bubbleSortPassPerItem, Byte, sorted, 129978600769341, 129978919892015, 319122674
bubbleSortPassPerItem, Byte, sorted, 129978920027752, 129979239232318, 319204566
bubbleSortPassPerItem, Byte, sorted, 129979239354665, 129979560442649, 321087984
bubbleSortPassPerItem, Byte, sorted, 129979560564034, 129979880424917, 319860883
bubbleSortPassPerItem, Byte, sorted, 129979880550907, 129980199722834, 319171927
bubbleSortPassPerItem, Byte, sorted, 129980199826517, 129980519942544, 320116027
bubbleSortPassPerItem, Byte, partSorted, 129988712525819, 129989034757354, 322231535
bubbleSortPassPerItem, Byte, partSorted, 129989034902878, 129989358404317, 323501439
bubbleSortPassPerItem, Byte, partSorted, 129989358527889, 129989681068793, 322540904
bubbleSortPassPerItem, Byte, partSorted, 129989681207399, 129990003539248, 322331849
bubbleSortPassPerItem, Byte, partSorted, 129990003694881, 129990323129923, 319435042
bubbleSortPassPerItem, Byte, partSorted, 129990323284292, 129990642351887, 319067595
bubbleSortPassPerItem, Byte, partSorted, 129990642500710, 129990979208870, 336708160
bubbleSortPassPerItem, Byte, partSorted, 129990979361018, 129991298468724, 319107706
bubbleSortPassPerItem, Byte, partSorted, 129991298567339, 129991617600515, 319033176
bubbleSortPassPerItem, Byte, partSorted, 129991617732832, 129991937100745, 319367913
bubbleSortPassPerItem, Byte, partSorted, 129991937237841, 129992260768286, 323530445
bubbleSortPassPerItem, Byte, partSorted, 129992260886752, 129992588200648, 327313896
bubbleSortPassPerItem, Byte, partSorted, 129992588380939, 129992915954569, 327573630
bubbleSortPassPerItem, Byte, partSorted, 129992916108124, 129993243331325, 327223201
bubbleSortPassPerItem, Byte, partSorted, 129993243457479, 129993571110224, 327652745
bubbleSortPassPerItem, Byte, partSorted, 129993571244945, 129993895318662, 324073717
bubbleSortPassPerItem, Byte, partSorted, 129993895450170, 129994219631108, 324180938
bubbleSortPassPerItem, Byte, partSorted, 129994219768675, 129994540718633, 320949958
bubbleSortPassPerItem, Byte, partSorted, 129994540834447, 129994859939159, 319104712
bubbleSortPassPerItem, Byte, partSorted, 129994860049856, 129995199672881, 339623025
bubbleSortPassPerItem, Byte, partSorted, 129995199774108, 129995524447904, 324673796
bubbleSortPassPerItem, Byte, partSorted, 129995524574532, 129995848680798, 324106266
bubbleSortPassPerItem, Byte, partSorted, 129995848796364, 129996173168647, 324372283
bubbleSortPassPerItem, Byte, partSorted, 129996173303497, 129996497434422, 324130925
bubbleSortPassPerItem, Byte, partSorted, 129996497582002, 129996821786442, 324204440
bubbleSortPassPerItem, Byte, partSorted, 129996821941231, 129997146437711, 324496480
bubbleSortPassPerItem, Byte, partSorted, 129997146556120, 129997470706635, 324150515
bubbleSortPassPerItem, Byte, partSorted, 129997470832160, 129997795178062, 324345902
bubbleSortPassPerItem, Byte, partSorted, 129997795311941, 129998118019766, 322707825
bubbleSortPassPerItem, Byte, partSorted, 129998118130456, 129998437498090, 319367634
bubbleSortPassPerItem, Byte, partSorted, 129998437600911, 129998756778699, 319177788
bubbleSortPassPerItem, Byte, partSorted, 129998756898909, 129999083203739, 326304830
bubbleSortPassPerItem, Byte, partSorted, 129999083314328, 129999410785647, 327471319
bubbleSortPassPerItem, Byte, partSorted, 129999410906024, 129999737955027, 327049003
bubbleSortPassPerItem, Byte, partSorted, 129999738100139, 130000065359561, 327259422
bubbleSortPassPerItem, Byte, partSorted, 130000065481396, 130000392700364, 327218968
bubbleSortPassPerItem, Byte, partSorted, 130000392827863, 130000718522073, 325694210
bubbleSortPassPerItem, Byte, partSorted, 130000718639800, 130001045924056, 327284256
bubbleSortPassPerItem, Byte, partSorted, 130001046065013, 130001373604835, 327539822
bubbleSortPassPerItem, Byte, partSorted, 130001373734410, 130001701032426, 327298016
bubbleSortPassPerItem, Byte, partSorted, 130001701150899, 130002029195778, 328044879
bubbleSortPassPerItem, Byte, partSorted, 130002029329450, 130002356212312, 326882862
bubbleSortPassPerItem, Byte, partSorted, 130002356313757, 130002684627600, 328313843
bubbleSortPassPerItem, Byte, partSorted, 130002684745858, 130003012074828, 327328970
bubbleSortPassPerItem, Byte, partSorted, 130003012201352, 130003337367201, 325165849
bubbleSortPassPerItem, Byte, partSorted, 130003337483642, 130003657075411, 319591769
bubbleSortPassPerItem, Byte, partSorted, 130003657179643, 130003978237041, 321057398
bubbleSortPassPerItem, Byte, partSorted, 130003978386692, 130004299715792, 321329100
bubbleSortPassPerItem, Byte, partSorted, 130004299862365, 130004624019977, 324157612
bubbleSortPassPerItem, Byte, partSorted, 130004624152886, 130004947724704, 323571818
bubbleSortPassPerItem, Byte, partSorted, 130004947895572, 130005270883273, 322987701
bubbleSortPassPerItem, Byte, partSorted, 130005271006678, 130005598515984, 327509306
bubbleSortPassPerItem, Byte, partSorted, 130005598638651, 130005922667603, 324028952
bubbleSortPassPerItem, Byte, partSorted, 130005922784274, 130006243464549, 320680275
bubbleSortPassPerItem, Byte, partSorted, 130006243578580, 130006565796104, 322217524
bubbleSortPassPerItem, Byte, partSorted, 130006565937361, 130006887825275, 321887914
bubbleSortPassPerItem, Byte, partSorted, 130006887939851, 130007207969347, 320029496
